作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Huang, W., Su, L., Zhuang, Y.","57216615256;12780712300;57538375600;","Detecting Unobserved Heterogeneity in Efficient Prices via Classifier-Lasso",2022,"Journal of Business and Economic Statistics",,,,"","",,,"10.1080/07350015.2022.2036613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126707644&doi=10.1080%2f07350015.2022.2036613&partnerID=40&md5=21f2cd7b1e81fce453dc38c03c094c2e",Article,"Article in Press","",Scopus,2-s2.0-85126707644
"Miao, K., Phillips, P.C.B., Su, L.","57210847467;35350444400;12780712300;","High-dimensional VARs with common factors",2022,"Journal of Econometrics",,,,"","",,,"10.1016/j.jeconom.2022.02.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126067690&doi=10.1016%2fj.jeconom.2022.02.002&partnerID=40&md5=ba8949cfa1480a45ecdce0baad5d6b5a",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85126067690
"Jin, S., Miao, K., Su, L.","7401822800;57210847467;12780712300;","On factor models with random missing: EM estimation, inference, and cross validation",2021,"Journal of Econometrics","222","1",,"745","777",,3,"10.1016/j.jeconom.2020.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090240727&doi=10.1016%2fj.jeconom.2020.08.002&partnerID=40&md5=e0e29b89fbb3626bc071fcf9ee86e92b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85090240727
"Huang, W., Jin, S., Phillips, P.C.B., Su, L.","57216615256;7401822800;35350444400;12780712300;","Nonstationary panel models with latent group structures and cross-section dependence",2021,"Journal of Econometrics","221","1",,"198","222",,1,"10.1016/j.jeconom.2020.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089079815&doi=10.1016%2fj.jeconom.2020.05.003&partnerID=40&md5=86125aca955e989e85a79c0b9186057d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85089079815
"Wang, W., Su, L.","57202304395;12780712300;","Identifying latent group structures in nonlinear panels",2021,"Journal of Econometrics","220","2",,"272","295",,6,"10.1016/j.jeconom.2020.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084400093&doi=10.1016%2fj.jeconom.2020.04.003&partnerID=40&md5=e3dfa804b1fe57ea95cc5374d027af96",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85084400093
"Lu, X., Miao, K., Su, L.","55748131500;57210847467;12780712300;","Determination of different types of fixed effects in three-dimensional panels*",2021,"Econometric Reviews","40","9",,"867","898",,2,"10.1080/07474938.2021.1889176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112019494&doi=10.1080%2f07474938.2021.1889176&partnerID=40&md5=07129116d55a89e4a68be6060d6b8dc2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85112019494
"Ma, S., Su, L., Zhang, Y.","36458859600;12780712300;57195318350;","Determining the number of communities in degree-corrected stochastic block models",2021,"Journal of Machine Learning Research","22",,,"","",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105862797&partnerID=40&md5=4743caf6d2b6d3e8cfca4220bd492ce7",Article,"Final","",Scopus,2-s2.0-85105862797
"Su, L., Wang, X.","12780712300;54884053700;","Testing for structural changes in factor models via a nonparametric regression",2020,"Econometric Theory","36","6",,"1127","1158",,2,"10.1017/S0266466619000446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085656016&doi=10.1017%2fS0266466619000446&partnerID=40&md5=31b6f3bb489a8fc3ac054f6c16ba75c2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85085656016
"Miao, K., Li, K., Su, L.","57210847467;55608915500;12780712300;","Panel threshold models with interactive fixed effects",2020,"Journal of Econometrics","219","1",,"137","170",,3,"10.1016/j.jeconom.2020.05.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089158853&doi=10.1016%2fj.jeconom.2020.05.018&partnerID=40&md5=3148d484d9eacefb531f5de85307a587",Article,"Final","",Scopus,2-s2.0-85089158853
"Huang, W., Jin, S., Su, L.","57216615256;7401822800;12780712300;","IDENTIFYING LATENT GROUPED PATTERNS in COINTEGRATED PANELS",2020,"Econometric Theory","36","3",,"410","456",,3,"10.1017/S0266466619000197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084071222&doi=10.1017%2fS0266466619000197&partnerID=40&md5=3bf11a0d130d12771e5bfc18a309e82b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85084071222
"Lu, X., Su, L.","55748131500;12780712300;","Determining individual or time effects in panel data models",2020,"Journal of Econometrics","215","1",,"60","83",,3,"10.1016/j.jeconom.2019.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072526394&doi=10.1016%2fj.jeconom.2019.07.008&partnerID=40&md5=85392a9c0ee30cbe0a023892ab8275e8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85072526394
"Miao, K., Su, L., Wang, W.","57210847467;12780712300;56244343300;","Panel threshold regressions with latent group structures",2020,"Journal of Econometrics","214","2",,"451","481",,4,"10.1016/j.jeconom.2019.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071658891&doi=10.1016%2fj.jeconom.2019.07.006&partnerID=40&md5=025e7dc601800903f7e88a9f373645ea",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85071658891
"Ma, S., Lan, W., Su, L., Tsai, C.-L.","36458859600;49961705000;12780712300;7404968188;","Testing Alphas in Conditional Time-Varying Factor Models With High-Dimensional Assets",2020,"Journal of Business and Economic Statistics","38","1",,"214","227",,7,"10.1080/07350015.2018.1482758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052063560&doi=10.1080%2f07350015.2018.1482758&partnerID=40&md5=3fb39c52eb8c59d52f05dff2259180ee",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85052063560
"Su, L., Wang, W., Zhang, Y.","12780712300;57202304395;57195318350;","Strong Consistency of Spectral Clustering for Stochastic Block Models",2020,"IEEE Transactions on Information Theory","66","1","8793181","324","338",,11,"10.1109/TIT.2019.2934157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077239445&doi=10.1109%2fTIT.2019.2934157&partnerID=40&md5=e2828c5fa5a05ae7ee37ef2eab8bce4d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85077239445
"Su, L., Ura, T., Zhang, Y.","12780712300;57204838894;57195318350;","Non-separable models with high-dimensional data",2019,"Journal of Econometrics","212","2",,"646","677",,5,"10.1016/j.jeconom.2019.06.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068580714&doi=10.1016%2fj.jeconom.2019.06.004&partnerID=40&md5=fc68eeb5924aabd95a84c2338b88ba2a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85068580714
"Feng, G., Peng, B., Su, L., Yang, T.T.","14619001500;56735344100;12780712300;55340386700;","Semi-parametric single-index panel data models with interactive fixed effects: Theory and practice",2019,"Journal of Econometrics","212","2",,"607","622",,2,"10.1016/j.jeconom.2019.05.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068468922&doi=10.1016%2fj.jeconom.2019.05.018&partnerID=40&md5=da7eac76b50584eda6d8ca09e2330b52",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85068468922
"Fan, Y., He, M., Su, L., Zhou, X.-H.","7403492092;57216466642;12780712300;35197392400;","A smoothed Q-learning algorithm for estimating optimal dynamic treatment regimes",2019,"Scandinavian Journal of Statistics","46","2",,"446","469",,1,"10.1111/sjos.12359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059070635&doi=10.1111%2fsjos.12359&partnerID=40&md5=1723ff911c1f61e522513e8330a67a06",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85059070635
"Su, L., Xu, P.","12780712300;55048663700;","Common threshold in quantile regressions with an application to pricing for reputation",2019,"Econometric Reviews","38","4",,"417","450",,7,"10.1080/07474938.2017.1318469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020536012&doi=10.1080%2f07474938.2017.1318469&partnerID=40&md5=c2d0014d62a4a3bae65e78fe52ea6c64",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85020536012
"Su, L., Wang, X., Jin, S.","12780712300;54884053700;7401822800;","Sieve Estimation of Time-Varying Panel Data Models With Latent Structures",2019,"Journal of Business and Economic Statistics","37","2",,"334","349",,14,"10.1080/07350015.2017.1340299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038639614&doi=10.1080%2f07350015.2017.1340299&partnerID=40&md5=c8af49880f2322d55db809a0e7ff24f8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85038639614
"Wang, W., Phillips, P.C.B., Su, L.","57202304395;35350444400;12780712300;","The heterogeneous effects of the minimum wage on employment across states",2019,"Economics Letters","174",,,"179","185",,9,"10.1016/j.econlet.2018.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057892382&doi=10.1016%2fj.econlet.2018.11.002&partnerID=40&md5=1c216745edb1423f69c14d42bde3b750",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85057892382
"Ma, S., Su, L.","36458859600;12780712300;","Estimation of large dimensional factor models with an unknown number of breaks",2018,"Journal of Econometrics","207","1",,"1","29",,20,"10.1016/j.jeconom.2018.06.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050474758&doi=10.1016%2fj.jeconom.2018.06.019&partnerID=40&md5=9b78fa991a8b67090fca761547feaa75",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85050474758
"Su, L., Ju, G.","12780712300;56579826200;","Identifying latent grouped patterns in panel data models with interactive fixed effects",2018,"Journal of Econometrics","206","2",,"554","573",,19,"10.1016/j.jeconom.2018.06.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049487328&doi=10.1016%2fj.jeconom.2018.06.014&partnerID=40&md5=87464832b993360282b25e27d888b864",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85049487328
"Wang, W., Phillips, P.C.B., Su, L.","57202304395;35350444400;12780712300;","Homogeneity pursuit in panel data models: Theory and application",2018,"Journal of Applied Econometrics","33","6",,"797","815",,18,"10.1002/jae.2632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047836419&doi=10.1002%2fjae.2632&partnerID=40&md5=f10f144b99e4215e97f34cce3a8665f4",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85047836419
"Su, L., Yang, Z.","12780712300;7405435676;","Asymptotics and bootstrap for random-effects panel data transformation models",2018,"Econometric Reviews","37","6",,"602","625",,1,"10.1080/07474938.2015.1122235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963815578&doi=10.1080%2f07474938.2015.1122235&partnerID=40&md5=d6aaa2da0ec54539fd5a3f676bcc765c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84963815578
"Lu, X., Su, L.","55748131500;12780712300;","Determining the number of groups in latent panel structures with an application to income and democracy",2017,"Quantitative Economics","8","3",,"729","760",,18,"10.3982/QE517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034624650&doi=10.3982%2fQE517&partnerID=40&md5=27f3343f4f862100fe56e903db0e42b3",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85034624650
"Su, L., Qu, X.","12780712300;56226119700;","Specification Test for Spatial Autoregressive Models",2017,"Journal of Business and Economic Statistics","35","4",,"572","584",,4,"10.1080/07350015.2015.1102734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018509999&doi=10.1080%2f07350015.2015.1102734&partnerID=40&md5=8cfb5966108f6a95307a4a9f7a67f8b3",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85018509999
